Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g.;" research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org)"; in addition to the full references for Binford (2001);  Binford and Johnson (2006); and Kirby et al. Submitted.;;;;;;;;;;;;;;
Ethnographic Atlas;Amba;Ae1;xd127;Amba (Ae1);1.0;30.0;1.0;30.0;amba1263;Amba (Uganda);rwm;Atlantic-Congo;1950;1;Trance behavior is known to occur, but there is no belief in possession.;;with special reference to those of Bwamba in Uganda;
Ethnographic Atlas;Kutsu;Ae22;xd141;Kutshu (Ae22);-4.0;22.0;-4.0;22.0;kusu1252;Kusu;ksv;Atlantic-Congo;1900;2;A belief in possession exists.;;with special reference to the Bankutu;
Ethnographic Atlas;Xhosa;Ab11;xd12;Xhosa (Ab11);-32.89;27.91;-33.0;28.0;xesi1238;Xesibe;;Atlantic-Congo;1850;3;Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.;;;
Ethnographic Atlas;Swazi;Ab2;xd21;Swazi (Ab2);-27.0;32.0;-27.0;32.0;swat1243;Swati;ssw;Atlantic-Congo;1880;6;Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.;;;
Ethnographic Atlas;Gbagyi;Af28;xd206;Gbari (Af28);10.0;10.0;10.0;10.0;gbar1246;Gbari;gby;Atlantic-Congo;1910;3;Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.;;;
Ethnographic Atlas;Kuba;Ac4;xd66;Kuba (Ac4);-5.0;22.0;-5.0;22.0;bush1247;Bushoong;buf;Atlantic-Congo;1910;2;A belief in possession exists.;;with special reference to the Bushoong, the central subtribe;
Ethnographic Atlas;Vugusu;Ad41;xd111;Vugusu (Ad41);1.0;35.0;1.0;35.0;buku1249;Bukusu;bxk;Atlantic-Congo;1930;4;Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.;;;
Ethnographic Atlas;Bamileke;Ae5;xd171;Bamileke (Ae5);5.0;10.0;5.0;10.0;fefe1239;Fe'fe';fmp;Atlantic-Congo;1910;2;A belief in possession exists.;;;
Ethnographic Atlas;Chagga;Ad3;xd98;Chagga (Ad3);-3.0;37.0;-3.0;37.0;moch1256;Mochi;old;Atlantic-Congo;1910;2;A belief in possession exists.;;;
Ethnographic Atlas;Gusii;Ad12;xd79;Gusii (Ad12);-1.0;35.0;-1.0;35.0;gusi1247;Gusii;guz;Atlantic-Congo;1940;3;Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.;;;
Ethnographic Atlas;Egba;Af32;xd211;Egba (Af32);7.0;3.0;7.0;3.0;egba1238;Egba;;Atlantic-Congo;1920;7;Trance states of two kinds are known to occur, some of which are explained by possession. No other phenomena are explained by possession.;;Abeouta Province and Benin;
